,acc_alpha,acc_settings,alpha_2,best_OFwinsize,best_bilatfil_size,best_scale,gt_file,mag_file,ms_ssim,ms_ssim_best,ms_ssim_mag,orig_file,psnr,psnr_best,psnr_mag,score,score_best,score_mag,scorebest_OFwinsize,sfm_best_file,sfm_default_file,ssim,ssim_best,ssim_mag,status,video_num,vmaf,vmaf_best,vmaf_mag
0,16,,1,23.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag0_plainbg_moveY_amp1.0_alpha16_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig0_plainbg_moveY_amp1.0_Large_fm_2_alpha_16_pylevel_4_kernel_INT.mp4,0.7464453777777778,0.744526966666667,0.7564503333333333,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig0_plainbg_moveY_amp1.0_Large.mp4,24.545017366666666,24.536003377777778,24.599930711111114,0.5061368987037036,0.5069626107407409,0.49961019422222225,,./from_ACC/large_motion/v0_fromACC_s1_b1_w23_BEST.mp4,./from_ACC/large_motion/v0_fromACC_s1_b1_w15_DEFAULT.mp4,0.724553711111111,0.7228503111111111,0.739410388888889,1,0,4.741160722222222,5.3510554444444445,0.29698604444444443
1,16,,1,23.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag1_texturebg_moveY_amp1.0_alpha16_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig1_texturebg_moveY_amp1.0_Large_fm_2_alpha_16_pylevel_4_kernel_INT.mp4,0.7927948222222222,0.7935111444444444,0.7940160333333334,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig1_texturebg_moveY_amp1.0_Large.mp4,22.736996655555558,22.79503181111111,23.380835933333337,0.6061397622222222,0.6119374665925926,0.5777049161851852,,./from_ACC/large_motion/v1_fromACC_s1_b1_w23_BEST.mp4,./from_ACC/large_motion/v1_fromACC_s1_b1_w15_DEFAULT.mp4,0.8064611333333334,0.8082898222222223,0.8134092555555554,1,1,21.916333111111115,23.401143311111106,12.568945966666666
2,16,,1,15.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag2_texturemovebg_moveY_amp1.0_alpha16_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig2_texturemovebg_moveY_amp1.0_Large_fm_2_alpha_16_pylevel_4_kernel_INT.mp4,0.8099037888888888,0.8099037888888888,0.8059914777777779,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig2_texturemovebg_moveY_amp1.0_Large.mp4,26.53011134444445,26.53011134444445,26.750610088888884,0.5936386345925926,0.5936386345925926,0.5625552835925927,,./from_ACC/large_motion/v2_fromACC_s1_b1_w15_BEST.mp4,./from_ACC/large_motion/v2_fromACC_s1_b1_w15_DEFAULT.mp4,0.8080721111111112,0.8080721111111112,0.8122904777777776,1,2,16.294000377777778,16.294000377777778,6.938389522222223
3,8,,1,7.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag3_plainbg_moveY_amp2.0_alpha8_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig3_plainbg_moveY_amp2.0_Large_fm_2_alpha_8_pylevel_4_kernel_INT.mp4,0.7764427777777778,0.7813552666666667,0.7825316111111111,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig3_plainbg_moveY_amp2.0_Large.mp4,27.114889988888894,27.21126423333333,26.821742522222223,0.5325039518888889,0.5334477264814815,0.5321601435555556,,./from_ACC/large_motion/v3_fromACC_s1_b1_w7_BEST.mp4,./from_ACC/large_motion/v3_fromACC_s1_b1_w15_DEFAULT.mp4,0.7655325999999999,0.7699343000000001,0.7825988000000001,1,3,5.55364778888889,4.905361277777778,3.135001955555556
4,8,,1,15.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag4_texturebg_moveY_amp2.0_alpha8_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig4_texturebg_moveY_amp2.0_Large_fm_2_alpha_8_pylevel_4_kernel_INT.mp4,0.9065222555555557,0.9065222555555557,0.9079997666666666,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig4_texturebg_moveY_amp2.0_Large.mp4,25.97773603333333,25.97773603333333,26.4585036,0.8250317937037037,0.8250317937037037,0.8078434054074073,,./from_ACC/large_motion/v4_fromACC_s1_b1_w15_BEST.mp4,./from_ACC/large_motion/v4_fromACC_s1_b1_w15_DEFAULT.mp4,0.8949052888888888,0.8949052888888888,0.8995078888888889,1,4,67.36678366666666,67.36678366666666,61.602256066666655
5,8,,1,23.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag5_texturemovebg_moveY_amp2.0_alpha8_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig5_texturemovebg_moveY_amp2.0_Large_fm_2_alpha_8_pylevel_4_kernel_INT.mp4,0.8091263666666666,0.8082101555555556,0.7993168777777778,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig5_texturemovebg_moveY_amp2.0_Large.mp4,19.570123133333333,19.571948611111115,20.3870873,0.5610960431481481,0.5621781980370371,0.5405636344444446,,./from_ACC/large_motion/v5_fromACC_s1_b1_w23_BEST.mp4,./from_ACC/large_motion/v5_fromACC_s1_b1_w15_DEFAULT.mp4,0.7914382777777779,0.7908027666666666,0.7890736666666668,1,5,8.2723485,8.752167188888889,3.3300358888888892
6,4,,1,7.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag6_plainbg_moveY_amp4.0_alpha4_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig6_plainbg_moveY_amp4.0_Large_fm_2_alpha_4_pylevel_4_kernel_INT.mp4,0.7151180666666667,0.7216840666666666,0.7064709777777778,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig6_plainbg_moveY_amp4.0_Large.mp4,22.499129733333334,22.511174066666666,21.97942352222222,0.4880940847407407,0.4885879057037037,0.47065668611111117,,./from_ACC/large_motion/v6_fromACC_s1_b1_w7_BEST.mp4,./from_ACC/large_motion/v6_fromACC_s1_b1_w15_DEFAULT.mp4,0.6995404666666667,0.7054903888888889,0.6944382777777778,1,6,4.9623720888888885,3.858926155555556,1.1060802777777778
7,4,,1,23.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag7_texturebg_moveY_amp4.0_alpha4_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig7_texturebg_moveY_amp4.0_Large_fm_2_alpha_4_pylevel_4_kernel_INT.mp4,0.7043791111111111,0.7052130333333334,0.7093407,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig7_texturebg_moveY_amp4.0_Large.mp4,24.026678355555553,24.12408223333333,24.597873122222218,0.5856554732222222,0.5887316426666667,0.5764047765555556,,./from_ACC/large_motion/v7_fromACC_s1_b1_w23_BEST.mp4,./from_ACC/large_motion/v7_fromACC_s1_b1_w15_DEFAULT.mp4,0.6848975555555554,0.686185088888889,0.6971354111111111,1,7,36.7689753,37.47968057777778,32.27382185555556
8,4,,1,23.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag8_texturemovebg_moveY_amp4.0_alpha4_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig8_texturemovebg_moveY_amp4.0_Large_fm_2_alpha_4_pylevel_4_kernel_INT.mp4,0.7790566333333334,0.7788818222222221,0.783672188888889,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig8_texturemovebg_moveY_amp4.0_Large.mp4,23.21618143333333,23.2227527,23.547867455555554,0.577921923037037,0.5800949804814813,0.5501338968518519,,./from_ACC/large_motion/v8_fromACC_s1_b1_w23_BEST.mp4,./from_ACC/large_motion/v8_fromACC_s1_b1_w15_DEFAULT.mp4,0.7432035777777778,0.7434518333333333,0.7526862222222224,1,8,21.150555800000003,21.795128588888886,11.404327944444445
9,16,,1,23.0,1,8,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag9_plainbg_moveX_amp1.0_alpha16_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig9_plainbg_moveX_amp1.0_Large_fm_2_alpha_16_pylevel_4_kernel_INT.mp4,0.8994591222222221,0.8990036666666666,0.9003943888888889,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig9_plainbg_moveX_amp1.0_Large.mp4,26.974878899999997,26.938612111111116,27.734987911111112,0.608498885185185,0.6098636325185186,0.6018692582222223,,./from_ACC/large_motion/v9_fromACC_s8_b1_w23_BEST.mp4,./from_ACC/large_motion/v9_fromACC_s1_b1_w15_DEFAULT.mp4,0.8989859111111109,0.8978851333333334,0.9039814666666667,1,9,2.705162222222222,3.2702097555555554,0.1231919111111111
