,alpha_2,best_OFwinsize,best_bilatfil_size,best_scale,gt_file,mag_file,ms_ssim,ms_ssim_best,ms_ssim_mag,orig_file,pb_alpha,pb_settings,psnr,psnr_best,psnr_mag,score,score_best,score_mag,scorebest_OFwinsize,sfm_best_file,sfm_default_file,ssim,ssim_best,ssim_mag,status,video_num,vmaf,vmaf_best,vmaf_mag
97,2,15.0,1,2,../momag-database/resultVideos/moveOnly2_downsize_4/mag16_texturebg_moveX_amp0.4_alpha40.mp4,../data/PhaseBasedResults/momag-database/small_motion_quarter_halfmag/orig16_texturebg_moveX_amp0.4-FIRWindowBP-band1.00-14.00-sr30-alpha20-mp0-sigma0-scale1.00-frames1-90-octave.avi,0.9105551333333334,0.9169640555555554,0.8671697777777777,../momag-database/resultVideos/moveOnly2_downsize_4/orig16_texturebg_moveX_amp0.4.mp4,20,halfmag_quarter,27.476465777777776,27.375880922222223,24.597152855555557,0.7432381301111111,0.7460876649259259,0.6602401425185185,,./from_PB/small_motion_quarter_halfmag/v16_fromPBhalfmag_quarter_s2_b1_w15_hm_BEST.mp4,./from_PB/small_motion_quarter_halfmag/v16_fromPBhalfmag_quarter_s1_b1_w15_hm_DEFAULT.mp4,0.8795686111111111,0.8834237666666668,0.8460017777777777,1,16,43.959064588888886,43.78751725555556,26.754887200000006
98,2,23.0,1,1,../momag-database/resultVideos/moveOnly2_downsize_4/mag17_texturebg_moveX_amp0.4_alpha40.mp4,../data/PhaseBasedResults/momag-database/small_motion_quarter_halfmag/orig17_texturebg_moveX_amp0.4-FIRWindowBP-band1.00-14.00-sr30-alpha20-mp0-sigma0-scale1.00-frames1-90-octave.avi,0.9065342000000001,0.9076515333333333,0.8541943555555555,../momag-database/resultVideos/moveOnly2_downsize_4/orig17_texturebg_moveX_amp0.4.mp4,20,halfmag_quarter,28.293050144444447,28.28230242222222,24.80959027777778,0.7545029156296296,0.7579485915555555,0.6615879284444444,,./from_PB/small_motion_quarter_halfmag/v17_fromPBhalfmag_quarter_s1_b1_w23_hm_BEST.mp4,./from_PB/small_motion_quarter_halfmag/v17_fromPBhalfmag_quarter_s1_b1_w15_hm_DEFAULT.mp4,0.8581807666666665,0.8602987555555555,0.8059580333333334,1,17,49.87937802222223,50.58954857777778,32.46113964444444
99,2,23.0,1,4,../momag-database/resultVideos/moveOnly2_downsize_4/mag18_plainbg_moveXY_amp0.1_alpha160.mp4,../data/PhaseBasedResults/momag-database/small_motion_quarter_halfmag/orig18_plainbg_moveXY_amp0.1-FIRWindowBP-band1.00-14.00-sr30-alpha80-mp0-sigma0-scale1.00-frames1-90-octave.avi,0.8605720777777778,0.8932452888888889,0.8167976666666668,../momag-database/resultVideos/moveOnly2_downsize_4/orig18_plainbg_moveXY_amp0.1.mp4,80,halfmag_quarter,25.42058782222222,26.932059166666665,22.96818505555556,0.615969587037037,0.6578772327777778,0.5551460162222223,,./from_PB/small_motion_quarter_halfmag/v18_fromPBhalfmag_quarter_s4_b1_w23_hm_BEST.mp4,./from_PB/small_motion_quarter_halfmag/v18_fromPBhalfmag_quarter_s1_b1_w15_hm_DEFAULT.mp4,0.8424708555555555,0.869217711111111,0.8130229777777779,1,18,14.486582777777777,21.116869833333336,3.5617404222222224
100,2,23.0,1,2,../momag-database/resultVideos/moveOnly2_downsize_4/mag19_texturebg_moveXY_amp0.1_alpha160.mp4,../data/PhaseBasedResults/momag-database/small_motion_quarter_halfmag/orig19_texturebg_moveXY_amp0.1-FIRWindowBP-band1.00-14.00-sr30-alpha80-mp0-sigma0-scale1.00-frames1-90-octave.avi,0.7958972444444447,0.8461200555555555,0.694657788888889,../momag-database/resultVideos/moveOnly2_downsize_4/orig19_texturebg_moveXY_amp0.1.mp4,80,halfmag_quarter,26.420637700000004,27.180910766666667,24.855068611111108,0.6212841445555556,0.6712502054444444,0.5100029142592593,,./from_PB/small_motion_quarter_halfmag/v19_fromPBhalfmag_quarter_s2_b1_w23_hm_BEST.mp4,./from_PB/small_motion_quarter_halfmag/v19_fromPBhalfmag_quarter_s1_b1_w15_hm_DEFAULT.mp4,0.7215730444444445,0.7743785555555557,0.6396400333333333,1,19,34.63821447777778,39.325200522222225,19.571092055555557
101,2,23.0,1,2,../momag-database/resultVideos/moveOnly2_downsize_4/mag20_texturebg_moveXY_amp0.1_alpha160.mp4,../data/PhaseBasedResults/momag-database/small_motion_quarter_halfmag/orig20_texturebg_moveXY_amp0.1-FIRWindowBP-band1.00-14.00-sr30-alpha80-mp0-sigma0-scale1.00-frames1-90-octave.avi,0.7786508444444442,0.845830311111111,0.7118850333333333,../momag-database/resultVideos/moveOnly2_downsize_4/orig20_texturebg_moveXY_amp0.1.mp4,80,halfmag_quarter,24.994806055555557,26.103930811111113,24.17971843333333,0.5426510219629629,0.616879250111111,0.46800445614814823,,./from_PB/small_motion_quarter_halfmag/v20_fromPBhalfmag_quarter_s2_b1_w23_hm_BEST.mp4,./from_PB/small_motion_quarter_halfmag/v20_fromPBhalfmag_quarter_s1_b1_w15_hm_DEFAULT.mp4,0.7118890333333334,0.7705096111111109,0.6615189111111112,1,20,13.741318811111109,23.429782811111117,3.0609424
102,2,23.0,1,4,../momag-database/resultVideos/moveOnly2_downsize_4/mag21_plainbg_moveXY_amp0.2_alpha80.mp4,../data/PhaseBasedResults/momag-database/small_motion_quarter_halfmag/orig21_plainbg_moveXY_amp0.2-FIRWindowBP-band1.00-14.00-sr30-alpha40-mp0-sigma0-scale1.00-frames1-90-octave.avi,0.740350077777778,0.7755242,0.6860012,../momag-database/resultVideos/moveOnly2_downsize_4/orig21_plainbg_moveXY_amp0.2.mp4,40,halfmag_quarter,22.987522700000003,23.876896577777778,21.103271244444446,0.5088835551851852,0.5427830778148147,0.45305007922222224,,./from_PB/small_motion_quarter_halfmag/v21_fromPBhalfmag_quarter_s4_b1_w23_hm_BEST.mp4,./from_PB/small_motion_quarter_halfmag/v21_fromPBhalfmag_quarter_s1_b1_w15_hm_DEFAULT.mp4,0.6775990555555556,0.7069407777777778,0.6477934333333333,1,21,10.87015322222222,14.588425566666665,2.535560433333333
103,2,15.0,1,4,../momag-database/resultVideos/moveOnly2_downsize_4/mag22_texturebg_moveXY_amp0.2_alpha80.mp4,../data/PhaseBasedResults/momag-database/small_motion_quarter_halfmag/orig22_texturebg_moveXY_amp0.2-FIRWindowBP-band1.00-14.00-sr30-alpha40-mp0-sigma0-scale1.00-frames1-90-octave.avi,0.7415860222222223,0.7719867777777776,0.5379256666666667,../momag-database/resultVideos/moveOnly2_downsize_4/orig22_texturebg_moveXY_amp0.2.mp4,40,halfmag_quarter,20.798682677777776,21.48756618888889,18.024092622222224,0.5657434675185186,0.5912666734444444,0.3870540541111111,,./from_PB/small_motion_quarter_halfmag/v22_fromPBhalfmag_quarter_s4_b1_w15_hm_BEST.mp4,./from_PB/small_motion_quarter_halfmag/v22_fromPBhalfmag_quarter_s1_b1_w15_hm_DEFAULT.mp4,0.6702153555555556,0.7052239555555555,0.48156308888888877,1,22,28.54290247777778,29.658928699999997,14.167340677777778
104,2,23.0,1,4,../momag-database/resultVideos/moveOnly2_downsize_4/mag23_texturebg_moveXY_amp0.2_alpha80.mp4,../data/PhaseBasedResults/momag-database/small_motion_quarter_halfmag/orig23_texturebg_moveXY_amp0.2-FIRWindowBP-band1.00-14.00-sr30-alpha40-mp0-sigma0-scale1.00-frames1-90-octave.avi,0.8339474555555557,0.8742646444444442,0.7738289555555555,../momag-database/resultVideos/moveOnly2_downsize_4/orig23_texturebg_moveXY_amp0.2.mp4,40,halfmag_quarter,26.452007655555555,27.782320277777778,24.345992311111115,0.6242586132222222,0.6787322997037036,0.5241708144444445,,./from_PB/small_motion_quarter_halfmag/v23_fromPBhalfmag_quarter_s4_b1_w23_hm_BEST.mp4,./from_PB/small_motion_quarter_halfmag/v23_fromPBhalfmag_quarter_s1_b1_w15_hm_DEFAULT.mp4,0.7866148888888889,0.8254305888888889,0.7514719111111112,1,23,25.221349522222226,33.65016657777778,4.721157666666667
105,2,23.0,1,4,../momag-database/resultVideos/moveOnly2_downsize_4/mag24_plainbg_moveXY_amp0.4_alpha40.mp4,../data/PhaseBasedResults/momag-database/small_motion_quarter_halfmag/orig24_plainbg_moveXY_amp0.4-FIRWindowBP-band1.00-14.00-sr30-alpha20-mp0-sigma0-scale1.00-frames1-90-octave.avi,0.7988732444444445,0.9101988777777779,0.6738960333333333,../momag-database/resultVideos/moveOnly2_downsize_4/orig24_plainbg_moveXY_amp0.4.mp4,20,halfmag_quarter,26.809357977777776,30.000873255555558,24.293623722222225,0.5850867266666667,0.7233279351481481,0.4518838432592592,,./from_PB/small_motion_quarter_halfmag/v24_fromPBhalfmag_quarter_s4_b1_w23_hm_BEST.mp4,./from_PB/small_motion_quarter_halfmag/v24_fromPBhalfmag_quarter_s1_b1_w15_hm_DEFAULT.mp4,0.7409924333333333,0.8652974444444443,0.6218665222222222,1,24,21.539450222222225,39.44874832222222,5.988897422222222
106,2,15.0,1,1,../momag-database/resultVideos/moveOnly2_downsize_4/mag25_texturebg_moveXY_amp0.4_alpha40.mp4,../data/PhaseBasedResults/momag-database/small_motion_quarter_halfmag/orig25_texturebg_moveXY_amp0.4-FIRWindowBP-band1.00-14.00-sr30-alpha20-mp0-sigma0-scale1.00-frames1-90-octave.avi,0.6888927777777778,0.6888927777777778,0.6316485444444444,../momag-database/resultVideos/moveOnly2_downsize_4/orig25_texturebg_moveXY_amp0.4.mp4,20,halfmag_quarter,19.167391422222224,19.167391422222224,19.012081555555557,0.47825102425925925,0.47825102425925925,0.42873387496296295,,./from_PB/small_motion_quarter_halfmag/v25_fromPBhalfmag_quarter_s1_b1_w15_hm_BEST.mp4,./from_PB/small_motion_quarter_halfmag/v25_fromPBhalfmag_quarter_s1_b1_w15_hm_DEFAULT.mp4,0.6119920999999999,0.6119920999999999,0.5959156333333333,1,25,13.386819500000001,13.386819500000001,5.863744711111113
107,2,15.0,1,2,../momag-database/resultVideos/moveOnly2_downsize_4/mag26_texturebg_moveXY_amp0.4_alpha40.mp4,../data/PhaseBasedResults/momag-database/small_motion_quarter_halfmag/orig26_texturebg_moveXY_amp0.4-FIRWindowBP-band1.00-14.00-sr30-alpha20-mp0-sigma0-scale1.00-frames1-90-octave.avi,0.6464988888888888,0.6690913444444444,0.5535523777777778,../momag-database/resultVideos/moveOnly2_downsize_4/orig26_texturebg_moveXY_amp0.4.mp4,20,halfmag_quarter,20.351735644444442,20.59704801111111,19.254930788888885,0.43568547955555553,0.4548062940740741,0.3587998625925926,,./from_PB/small_motion_quarter_halfmag/v26_fromPBhalfmag_quarter_s2_b1_w15_hm_BEST.mp4,./from_PB/small_motion_quarter_halfmag/v26_fromPBhalfmag_quarter_s1_b1_w15_hm_DEFAULT.mp4,0.5385860666666666,0.5554090222222222,0.4857653777777779,1,26,12.19714831111111,13.991851555555554,3.7081832222222224
