,alpha_2,best_OFwinsize,best_bilatfil_size,best_scale,dms_alpha,dms_settings,gt_file,mag_file,ms_ssim,ms_ssim_best,ms_ssim_mag,orig_file,psnr,psnr_best,psnr_mag,score,score_best,score_mag,scorebest_OFwinsize,sfm_best_file,sfm_default_file,ssim,ssim_best,ssim_mag,status,video_num,vmaf,vmaf_best,vmaf_mag
26,1,7.0,1,1,40,,../momag-database/resultVideos/moveOnly2_downsize_4/mag26_texturebg_moveXY_amp0.4_alpha40.mp4,../data/deepmag/momag-database/small_motion/orig26_texturebg_moveXY_amp0.4_alpha40_notdynamic.mp4,0.4148156333333333,0.4280669777777778,0.4094346111111112,../momag-database/resultVideos/moveOnly2_downsize_4/orig26_texturebg_moveXY_amp0.4.mp4,16.914529855555557,17.106956288888888,17.069143155555555,0.28238491499999996,0.28976557251851853,0.28059923144444443,,./from_DMS/large_motion/v26_fromDMS_s1_b1_w7_BEST.mp4,./from_DMS/large_motion/v26_fromDMS_s1_b1_w15_DEFAULT.mp4,0.4003189666666666,0.412697311111111,0.4196417222222222,1,26,3.2020145,2.8532428666666667,1.2721360999999998
27,2,7.0,1,1,80,halfmag,../momag-database/resultVideos/moveOnly2_downsize_4/mag0_plainbg_moveY_amp0.1_alpha160.mp4,../data/deepmag/momag-database/small_motion_halfmag/orig0_plainbg_moveY_amp0.1_alpha80_notdynamic.mp4,0.6924299333333334,0.6974773444444444,0.7785348999999998,../momag-database/resultVideos/moveOnly2_downsize_4/orig0_plainbg_moveY_amp0.1.mp4,23.360577555555558,23.460904077777776,26.14989945555556,0.4522618148148148,0.45432781618518514,0.5283182589629628,,./from_DMS/large_motion_halfmag/v0_fromDMShalfmag_s1_b1_w7_hm_BEST.mp4,./from_DMS/large_motion_halfmag/v0_fromDMShalfmag_s1_b1_w15_hm_DEFAULT.mp4,0.6630907,0.6645679555555555,0.7324995666666666,1,0,0.1264811111111111,0.09381485555555555,7.392031022222222
28,2,15.0,1,1,80,halfmag,../momag-database/resultVideos/moveOnly2_downsize_4/mag1_texturebg_moveY_amp0.1_alpha160.mp4,../data/deepmag/momag-database/small_motion_halfmag/orig1_texturebg_moveY_amp0.1_alpha80_notdynamic.mp4,0.8166388777777779,0.8166388777777779,0.8670176333333331,../momag-database/resultVideos/moveOnly2_downsize_4/orig1_texturebg_moveY_amp0.1.mp4,23.575040911111117,23.575040911111117,25.79176988888889,0.6123010948518518,0.6123010948518518,0.6657769736666665,,./from_DMS/large_motion_halfmag/v1_fromDMShalfmag_s1_b1_w15_hm_BEST.mp4,./from_DMS/large_motion_halfmag/v1_fromDMShalfmag_s1_b1_w15_hm_DEFAULT.mp4,0.8120881999999999,0.8120881999999999,0.8533447999999999,1,1,20.817620677777782,20.817620677777782,27.69684876666667
29,2,23.0,1,1,80,halfmag,../momag-database/resultVideos/moveOnly2_downsize_4/mag2_texturebg_moveY_amp0.1_alpha160.mp4,../data/deepmag/momag-database/small_motion_halfmag/orig2_texturebg_moveY_amp0.1_alpha80_notdynamic.mp4,0.8831480333333334,0.8837551777777776,0.8960084111111112,../momag-database/resultVideos/moveOnly2_downsize_4/orig2_texturebg_moveY_amp0.1.mp4,28.729184777777782,28.706725866666666,28.176911588888895,0.7390448852962962,0.741002800962963,0.7495463868518518,,./from_DMS/large_motion_halfmag/v2_fromDMShalfmag_s1_b1_w23_hm_BEST.mp4,./from_DMS/large_motion_halfmag/v2_fromDMShalfmag_s1_b1_w15_hm_DEFAULT.mp4,0.8540037444444443,0.8544445888888891,0.874327111111111,1,2,47.998287811111105,48.48086362222222,47.83036383333334
30,2,7.0,1,1,40,halfmag,../momag-database/resultVideos/moveOnly2_downsize_4/mag3_plainbg_moveY_amp0.2_alpha80.mp4,../data/deepmag/momag-database/small_motion_halfmag/orig3_plainbg_moveY_amp0.2_alpha40_notdynamic.mp4,0.7199589555555556,0.7250611444444445,0.8042877222222222,../momag-database/resultVideos/moveOnly2_downsize_4/orig3_plainbg_moveY_amp0.2.mp4,25.598153944444444,25.702069755555556,27.653720122222218,0.473891437037037,0.47632579259259256,0.5365580281481481,,./from_DMS/large_motion_halfmag/v3_fromDMShalfmag_s1_b1_w7_hm_BEST.mp4,./from_DMS/large_motion_halfmag/v3_fromDMShalfmag_s1_b1_w15_hm_DEFAULT.mp4,0.7017153555555555,0.7039162333333333,0.7710737333333333,1,3,0.0,0.0,3.431262888888889
31,2,23.0,1,1,40,halfmag,../momag-database/resultVideos/moveOnly2_downsize_4/mag4_texturebg_moveY_amp0.2_alpha80.mp4,../data/deepmag/momag-database/small_motion_halfmag/orig4_texturebg_moveY_amp0.2_alpha40_notdynamic.mp4,0.9143473000000002,0.915538988888889,0.9304353444444446,../momag-database/resultVideos/moveOnly2_downsize_4/orig4_texturebg_moveY_amp0.2.mp4,26.448443055555558,26.542813255555554,25.00138207777778,0.8439465002222223,0.8465673132592593,0.8484536154074075,,./from_DMS/large_motion_halfmag/v4_fromDMShalfmag_s1_b1_w23_hm_BEST.mp4,./from_DMS/large_motion_halfmag/v4_fromDMShalfmag_s1_b1_w15_hm_DEFAULT.mp4,0.8900657,0.8917063444444445,0.9090624666666666,1,4,72.74265006666667,73.24566064444446,70.58630351111111
32,2,15.0,1,1,40,halfmag,../momag-database/resultVideos/moveOnly2_downsize_4/mag5_texturebg_moveY_amp0.2_alpha80.mp4,../data/deepmag/momag-database/small_motion_halfmag/orig5_texturebg_moveY_amp0.2_alpha40_notdynamic.mp4,0.8712477222222222,0.8712477222222222,0.8633566555555556,../momag-database/resultVideos/moveOnly2_downsize_4/orig5_texturebg_moveY_amp0.2.mp4,20.301394733333336,20.301394733333336,21.08528632222222,0.6027189728518518,0.6027189728518518,0.6045920754814816,,./from_DMS/large_motion_halfmag/v5_fromDMShalfmag_s1_b1_w15_hm_BEST.mp4,./from_DMS/large_motion_halfmag/v5_fromDMShalfmag_s1_b1_w15_hm_DEFAULT.mp4,0.8128801222222222,0.8128801222222222,0.8161423333333335,1,5,12.402907411111114,12.402907411111114,13.427723755555556
33,2,7.0,1,1,20,halfmag,../momag-database/resultVideos/moveOnly2_downsize_4/mag6_plainbg_moveY_amp0.4_alpha40.mp4,../data/deepmag/momag-database/small_motion_halfmag/orig6_plainbg_moveY_amp0.4_alpha20_notdynamic.mp4,0.5879140333333333,0.6035341,0.7355033222222223,../momag-database/resultVideos/moveOnly2_downsize_4/orig6_plainbg_moveY_amp0.4.mp4,21.08762368888889,21.272094244444443,24.706465366666666,0.3892681111111111,0.39779965862962957,0.5313056105555556,,./from_DMS/large_motion_halfmag/v6_fromDMShalfmag_s1_b1_w7_hm_BEST.mp4,./from_DMS/large_motion_halfmag/v6_fromDMShalfmag_s1_b1_w15_hm_DEFAULT.mp4,0.5798903000000001,0.5898515777777777,0.7103596777777778,1,6,0.0,0.0013298111111111112,14.805383166666665
34,2,23.0,1,1,20,halfmag,../momag-database/resultVideos/moveOnly2_downsize_4/mag7_texturebg_moveY_amp0.4_alpha40.mp4,../data/deepmag/momag-database/small_motion_halfmag/orig7_texturebg_moveY_amp0.4_alpha20_notdynamic.mp4,0.8186726444444443,0.8202067888888888,0.8000173666666669,../momag-database/resultVideos/moveOnly2_downsize_4/orig7_texturebg_moveY_amp0.4.mp4,26.01580633333333,26.032555877777778,25.016198244444443,0.639927459037037,0.6413730495555555,0.6268258398148149,,./from_DMS/large_motion_halfmag/v7_fromDMShalfmag_s1_b1_w23_hm_BEST.mp4,./from_DMS/large_motion_halfmag/v7_fromDMShalfmag_s1_b1_w15_hm_DEFAULT.mp4,0.7509964000000001,0.7515901888888891,0.7471081111111111,1,7,35.01133326666667,35.23221708888889,33.33520416666667
35,2,23.0,1,1,20,halfmag,../momag-database/resultVideos/moveOnly2_downsize_4/mag8_texturebg_moveY_amp0.4_alpha40.mp4,../data/deepmag/momag-database/small_motion_halfmag/orig8_texturebg_moveY_amp0.4_alpha20_notdynamic.mp4,0.7713991444444446,0.7720149000000001,0.8520311444444444,../momag-database/resultVideos/moveOnly2_downsize_4/orig8_texturebg_moveY_amp0.4.mp4,22.276578833333335,22.28872611111111,23.900268200000003,0.6343133364814816,0.6347153777407408,0.7143690709259259,,./from_DMS/large_motion_halfmag/v8_fromDMShalfmag_s1_b1_w23_hm_BEST.mp4,./from_DMS/large_motion_halfmag/v8_fromDMShalfmag_s1_b1_w15_hm_DEFAULT.mp4,0.719759688888889,0.7197413111111112,0.7986016222222223,1,8,41.17811761111111,41.23899221111111,49.2474446111111
